legacyRegister,legacyNotation,legacyLabel,legacyURI,legacyDescription,disposition,proposedNotation,proposedLabel,mappingRelation,reviewStatus,targetVocabulary,rationale
Atmosphere,65,Anemometer [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/65,,rename,anemometry,Anemometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,66,Aneroid barometer (evacuated capsule),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/66,,rename,aneroidPressureMeasurement,Aneroid pressure measurement,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,68,Atmometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/68,,rename,atmometricEvaporationMeasurement,Atmometric evaporation measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,69,Atmospherics ('sferics') detection,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/69,,rename,atmosphericRadioNoiseDetection,Atmospheric radio-noise detection,close,discussion needed,ObservingMethod,Replace colloquial 'sferics' wording with a method-oriented term; confirm preferred scientific terminology.
Atmosphere,70,Atomic absorption spectrophotometry (AAS),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/70,,rename,atomicAbsorptionSpectrophotometry,Atomic absorption spectrophotometry,exact,non-controversial,ObservingMethod,Spell out AAS.
Atmosphere,71,Atomic emission spectrophotometry (AES),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/71,,rename,atomicEmissionSpectrophotometry,Atomic emission spectrophotometry,exact,non-controversial,ObservingMethod,Spell out AES.
Atmosphere,73,"Barometer, mercury column",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/73,,rename,mercuryColumnPressureMeasurement,Mercury-column pressure measurement,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,74,"Barometer, mercury-free column",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/74,,rename,liquidColumnPressureMeasurement,Liquid-column pressure measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,75,Beta counting,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/75,,rename,betaCounting,Beta counting,exact,non-controversial,ObservingMethod,Method already principle-oriented.
Atmosphere,76,Bimetal thermometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/76,,rename,bimetallicThermometry,Bimetallic thermometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,77,Bowen-ratio method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/77,,rename,bowenRatioMethod,Bowen-ratio method,exact,non-controversial,ObservingMethod,Normalize notation.
Atmosphere,78,Brewer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/78,,rename,differentialUltravioletAbsorptionSpectrophotometry,Differential ultraviolet absorption spectrophotometry,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod."
Atmosphere,82,Capacitive rain sensor,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/82,,rename,capacitivePrecipitationDetection,Capacitive precipitation detection,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,83,Capillary electrophoresis (CE),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/83,,rename,capillaryElectrophoresis,Capillary electrophoresis,exact,non-controversial,ObservingMethod,Spell out CE.
Atmosphere,87,Colorimetric titration (Gran method),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/87,,rename,granColorimetricTitration,Gran colorimetric titration,exact,non-controversial,ObservingMethod,Method-oriented wording.
Atmosphere,88,Colorimetric titration [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/88,,rename,colorimetricTitration,Colorimetric titration,exact,non-controversial,ObservingMethod,Remove '[general]' qualifier.
Atmosphere,90,Colorimetry (Saltzman),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/90,,rename,saltzmanColorimetry,Saltzman colorimetry,exact,non-controversial,ObservingMethod,Method-oriented wording.
Atmosphere,91,Colorimetry (thorin),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/91,,rename,thorinColorimetry,Thorin colorimetry,exact,non-controversial,ObservingMethod,Method-oriented wording.
Atmosphere,102,Disdrometer (drop spectrographs),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/102,,rename,disdrometry,Disdrometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,103,Disjunct eddy covariance method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/103,,rename,disjunctEddyCovariance,Disjunct eddy covariance,exact,non-controversial,ObservingMethod,Remove redundant 'method'.
Atmosphere,105,Dissipation method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/105,,rename,dissipationMethod,Dissipation method,exact,discussion needed,ObservingMethod,"Generic label is retained, but definition/scope should be checked in the consolidated vocabulary."
Atmosphere,107,ECC Sonde,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/107,,rename,electrochemicalConcentrationCell,Electrochemical concentration-cell measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,108,Eddy accumulation method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/108,,rename,eddyAccumulation,Eddy accumulation,exact,non-controversial,ObservingMethod,Remove redundant 'method'.
Atmosphere,109,Eddy covariance method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/109,,rename,eddyCovariance,Eddy covariance,exact,non-controversial,ObservingMethod,Remove redundant 'method'.
Atmosphere,112,Estimation from visual observation,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/112,,rename,visualEstimation,Visual estimation,exact,non-controversial,ObservingMethod,Method-oriented wording.
Atmosphere,113,Evaporation pan and-or tank,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/113,,rename,panEvaporationMeasurement,Pan evaporation measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,114,Faraday cup photochemistry,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/114,,rename,faradayCupPhotochemistry,Faraday-cup photochemistry,exact,discussion needed,ObservingMethod,"The legacy entry has no definition; retain provisionally but confirm whether this is a method, detector arrangement, or erroneous label."
Atmosphere,119,Flame-ionization detector (FID),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/119,,rename,flameIonizationDetection,Flame-ionization detection,exact,non-controversial,ObservingMethod,Replace detector acronym with the spelled-out method name.
Atmosphere,121,Flow injection analyzer (FIA),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/121,,rename,flowInjectionAnalysis,Flow-injection analysis,exact,non-controversial,ObservingMethod,Method-oriented wording.
Atmosphere,123,Flux variance method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/123,,rename,fluxVarianceMethod,Flux-variance method,exact,non-controversial,ObservingMethod,Normalize notation.
Atmosphere,125,Gradient method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/125,,rename,gradientMethod,Gradient method,exact,discussion needed,ObservingMethod,Generic method retained; consolidated definition should clarify scope.
Atmosphere,127,Gravimetry [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/127,,rename,gravimetry,Gravimetry,exact,non-controversial,ObservingMethod,Remove '[general]' qualifier.
Atmosphere,129,High Performance Liquid Chromatography (HPLC),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/129,,rename,highPerformanceLiquidChromatography,High-performance liquid chromatography,exact,non-controversial,ObservingMethod,Spell out the established method instead of using the acronym in the notation.
Atmosphere,130,Hot wire anemometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/130,,rename,hotWireAnemometry,Hot-wire anemometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,132,Hypsometer (water boiling point),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/132,,rename,boilingPointHypsometry,Boiling-point hypsometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,133,ICP-AES,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/133,,rename,inductivelyCoupledPlasmaAtomicEmissionSpectrometry,Inductively coupled plasma atomic-emission spectrometry,exact,non-controversial,ObservingMethod,Spell out the established method; notation remains within the proposed length limit.
Atmosphere,134,ICP-MS,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/134,,rename,inductivelyCoupledPlasmaMassSpectrometry,Inductively coupled plasma mass spectrometry,exact,non-controversial,ObservingMethod,Spell out the established method.
Atmosphere,136,Interferential method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/136,,rename,interferometry,Interferometry,close,discussion needed,ObservingMethod,Normalize the legacy 'interferential method' to the standard method noun; confirm intended scope.
Atmosphere,137,Ion Chromatography (IC) [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/137,,rename,ionChromatography,Ion chromatography,exact,non-controversial,ObservingMethod,Spell out IC and remove '[general]'.
Atmosphere,142,Doppler wind lidar,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/142,"Light detection and ranging (lidar) with Doppler capability (direct and coherent mode), typically used for measurements of winds.",rename,dopplerWindLidar,Doppler wind lidar,exact,non-controversial,ObservingMethod,Method is already principle-oriented; normalize notation.
Atmosphere,143,Raman lidar,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/143,"Light detection and ranging (lidar) with Raman capability, typically used for measurements of aerosol particle phase and cloud measurements as well as water vapor and temperature.",rename,ramanLidar,Raman lidar,exact,non-controversial,ObservingMethod,Method is already principle-oriented; normalize notation.
Atmosphere,146,Lysimeter,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/146,,rename,lysimetry,Lysimetry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,147,Mass balance method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/147,,rename,massBalanceMethod,Mass-balance method,exact,non-controversial,ObservingMethod,Normalize notation.
Atmosphere,150,Microbarometer (dewar),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/150,,rename,microbarometry,Microbarometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,168,Photoacoustic detection,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/168,,rename,photoacousticDetection,Photoacoustic detection,exact,non-controversial,ObservingMethod,Method already principle-oriented.
Atmosphere,171,Potassium iodide (KI) method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/171,,rename,potassiumIodideOzoneMeasurement,Potassium-iodide ozone measurement,exact,discussion needed,ObservingMethod,Method wording retained; review relationship to electrochemical ozonesonde methods.
Atmosphere,174,Pressure balance (piston),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/174,,rename,pistonPressureBalance,Piston pressure-balance measurement,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,175,Pressure plate (solid blade),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/175,,rename,pressurePlateAnemometry,Pressure-plate anemometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,176,Pressure tube,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/176,,rename,pressureTubeAnemometry,Pressure-tube anemometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,179,Pyranometer (measurement of IR radiation),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/179,,rename,infraredRadiometry,Infrared radiometry,close,discussion needed,ObservingMethod,Legacy label is internally inconsistent ('pyranometer' vs infrared); retain the stated spectral principle pending review.
Atmosphere,180,"Pyrradiometer (total global, UV+IR)",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/180,,rename,broadbandTotalRadiometry,Broadband total radiometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,183,Radio detection and ranging (Radar),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/183,,rename,radarRemoteSensing,Radar remote sensing,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,184,Radio detection and ranging (Radar) profiler,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/184,,rename,radarProfiling,Radar profiling,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,185,Radiochemical Methods [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/185,,rename,radiochemicalMethods,Radiochemical methods,exact,discussion needed,ObservingMethod,Remove '[general]' qualifier; consider whether a generic umbrella concept is desirable.
Atmosphere,186,Regener Sonde (chemiluminescence),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/186,,rename,chemiluminescenceDetection,Chemiluminescence detection,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,188,"Resistance thermometer, thermistor",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/188,,rename,resistanceThermometry,Resistance thermometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,190,Scatterometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/190,Visual range is calculated by measuring the return of light beam scattered by diffusion in air.,rename,scatterometry,Scatterometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,191,Separation + manometric determination,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/191,,rename,separationAndManometricDetermination,Separation and manometric determination,exact,discussion needed,ObservingMethod,Composite analytical procedure retained provisionally; consider decomposition if treatment and measurement can be represented separately.
Atmosphere,195,Sonic thermometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/195,,rename,acousticThermometry,Acoustic thermometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,196,Sound detection and ranging (Sodar) profiler,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/196,,rename,soundDetectionAndRangingProfiling,Sound detection and ranging profiling,close,discussion needed,ObservingMethod,Spell out SODAR rather than lower-camel-casing the acronym; retain method-oriented wording.
Atmosphere,197,Sunphotometry-Filter Radiometry,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/197,,rename,filterSunPhotometry,Filter sun photometry,exact,non-controversial,ObservingMethod,Normalize method-oriented wording.
Atmosphere,199,Surface chamber,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/199,,rename,surfaceChamberFluxMeasurement,Surface-chamber flux measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,201,"Thermocouple, thermopile",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/201,,rename,thermoelectricMeasurement,Thermoelectric measurement,close,discussion needed,ObservingMethod,Thermocouple/thermopile are transducer types; a more precise split by measurand may be preferable.
Atmosphere,204,Tipping bucket rain gauge (totalizer),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/204,,rename,tippingBucketPrecipitationMeasurement,Tipping-bucket precipitation measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,205,Titration,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/205,,rename,titration,Titration,exact,non-controversial,ObservingMethod,Method already principle-oriented.
Atmosphere,207,Transmissometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/207,Visual range is calculated by measuring the extinction coefficient of a beam of energy sent through a volume of air.,rename,transmissometry,Transmissometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,209,Turbidity measurement,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/209,,rename,turbidimetry,Turbidimetry,exact,non-controversial,ObservingMethod,Standard method noun.
Atmosphere,210,Umkehr method,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/210,,rename,umkehrMethod,Umkehr method,exact,non-controversial,ObservingMethod,Established method name.
Atmosphere,212,Weighing type rain gauge (totalizer),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/212,,rename,gravimetricPrecipitationMeasurement,Gravimetric precipitation measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,213,Wet Chemical Methods [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/213,,rename,wetChemicalMethods,Wet-chemical methods,exact,discussion needed,ObservingMethod,Generic umbrella concept may be too broad for the consolidated vocabulary.
Atmosphere,214,Wind sock (textile tube),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/214,,rename,visualWindEstimation,Visual wind estimation,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,215,Wind vane (solid blade),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/215,,rename,windVaneDirectionMeasurement,Wind-vane direction measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,221,Mass Spectrometry (MS) [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/221,,rename,massSpectrometry,Mass spectrometry,exact,non-controversial,ObservingMethod,Remove '[general]' qualifier.
Atmosphere,223,Particle induced x-ray emission (PIXE),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/223,,rename,particleInducedXRayEmissionSpectrometry,Particle-induced X-ray emission spectrometry,exact,non-controversial,ObservingMethod,Spell out the method.
Atmosphere,225,Thermo-optical analyzer (Sunset Labs),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/225,,rename,thermoOpticalAnalysis,Thermo-optical analysis,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod."
Atmosphere,226,X-ray fluorescence (XRF),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/226,,rename,xRayFluorescenceSpectrometry,X-ray fluorescence spectrometry,exact,non-controversial,ObservingMethod,Spell out the method.
Atmosphere,227,Aerodynamic particle sizing spectrometer (APS),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/227,,rename,aerodynamicParticleSizing,Aerodynamic particle sizing,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,228,Aerosol backscatter sonde,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/228,,rename,opticalBackscatterMeasurement,Optical backscatter measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,229,Light scattering,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/229,,rename,lightScattering,Light scattering,exact,non-controversial,ObservingMethod,Method already principle-oriented.
Atmosphere,230,"Nephelometry, integrating",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/230,,rename,integratingNephelometry,Integrating nephelometry,exact,non-controversial,ObservingMethod,Method-oriented wording.
Atmosphere,231,Cloud condensation nuclei (CCN) counter,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/231,,rename,cloudCondensationNucleiCounting,Cloud-condensation-nuclei counting,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,232,Condensation particle counter (CPC),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/232,,rename,condensationParticleCounting,Condensation-particle counting,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,233,Continuous gravimetry,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/233,,rename,continuousGravimetry,Continuous gravimetry,exact,discussion needed,ObservingMethod,Retain as a narrower operational form of gravimetry if hierarchy is supported.
Atmosphere,234,"Differential mobility particle sizer (DMA, DMPS)",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/234,,rename,differentialMobilityParticleSizing,Differential-mobility particle sizing,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,235,Diffusion battery,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/235,,rename,diffusionBatteryParticleSizing,Diffusion-battery particle sizing,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,236,Electric mobility [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/236,,rename,electricalMobilityAnalysis,Electrical-mobility analysis,close,non-controversial,ObservingMethod,Method-oriented wording.
Atmosphere,237,Electrostatic classifier,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/237,,rename,electricalMobilityClassification,Electrical-mobility classification,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,238,Multiangle absorption photometry (MAAP),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/238,,rename,multiAngleAbsorptionPhotometry,Multi-angle absorption photometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,240,Optical particle counter (OPC),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/240,,rename,opticalParticleCounting,Optical particle counting,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,241,Scanning mobility particle sizer (SMPS),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/241,,rename,scanningMobilityParticleSizing,Scanning-mobility particle sizing,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,242,Twomey static thermal diffusion chamber,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/242,,rename,thermalDiffusionCloudActivation,Thermal-diffusion cloud activation measurement,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod."
Atmosphere,245,Ceilometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/245,,rename,elasticBackscatterLidar,Elastic-backscatter lidar,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,250,Thin film capacitance,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/250,,rename,capacitiveHumidityMeasurement,Capacitive humidity measurement,close,non-controversial,ObservingMethod,Thin-film capacitance expresses the humidity-sensing principle.
Atmosphere,251,Chilled mirror,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/251,,rename,chilledMirrorHygrometry,Chilled-mirror hygrometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,252,Lithium chloride (LiCl),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/252,,rename,lithiumChlorideHygrometry,Lithium-chloride hygrometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,253,Hair hygrometer-hygrograph,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/253,,rename,hairHygrometry,Hair hygrometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,254,Hygrometer [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/254,,rename,hygrometry,Hygrometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,255,IR absorption hygrometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/255,,rename,infraredAbsorptionHygrometry,Infrared-absorption hygrometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,256,Optical hygrometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/256,,rename,opticalHygrometry,Optical hygrometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,257,UV fluorescence-based hygrometer (Lyman-α),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/257,Detection of UV fluorescence signal emitted by the excited OH radical produced from H2O after dissociation using UV light.,rename,lymanAlphaFluorescenceHygrometry,Lyman-alpha fluorescence hygrometry,close,discussion needed,ObservingMethod,Spell out the physical principle; Lyman-alpha is retained as the established spectral designation.
Atmosphere,263,Bimetallic actinograph,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/263,,rename,bimetallicActinography,Bimetallic actinography,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,264,"Pyrheliometer (direct solar, broadband)",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/264,,rename,directSolarRadiometry,Direct-solar radiometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,266,"Pyranometer (global solar, broadband)",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/266,,rename,globalSolarRadiometry,Global-solar radiometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,267,Spectral pyranometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/267,,rename,spectralSolarRadiometry,Spectral-solar radiometry,close,non-controversial,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,268,UV-vis spectrometry-radiometry,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/268,,rename,ultravioletVisibleSpectroradiometry,Ultraviolet-visible spectroradiometry,exact,non-controversial,ObservingMethod,Normalize and spell out the spectral range.
Atmosphere,271,Colorimetry (ANSA),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/271,,rename,colorimetryANSA,ANSA colorimetry,exact,discussion needed,ObservingMethod,Retain the established reagent/method acronym in uppercase pending expansion review.
Atmosphere,272,Colorimetry (Griess),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/272,,rename,griessColorimetry,Griess colorimetry,exact,non-controversial,ObservingMethod,Method-oriented wording.
Atmosphere,273,"Colorimetry (indophenol, Bertholet)",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/273,,rename,indophenolBerthelotColorimetry,Indophenol (Berthelot) colorimetry,exact,non-controversial,ObservingMethod,Normalize spelling of the established Berthelot method.
Atmosphere,274,Colorimetry (mercury thiocyanate+iron alum),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/274,,rename,mercuryThiocyanateColorimetry,Mercury-thiocyanate colorimetry,close,non-controversial,ObservingMethod,Short method-oriented notation; iron-alum reagent detail can remain in definition.
Atmosphere,275,Colorimetry (NEDA),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/275,,rename,colorimetryNEDA,NEDA colorimetry,exact,discussion needed,ObservingMethod,Retain the established reagent acronym in uppercase pending expansion review.
Atmosphere,276,"Colorimetry (Nessler, K2HgI4)",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/276,,rename,nesslerColorimetry,Nessler colorimetry,exact,non-controversial,ObservingMethod,"Chemical formula belongs in the definition, not the notation."
